0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
6.388800000000000106e-09,1.908399999999999889e-05,5.183499999999999584e-06,3.976299999999999973e-02,2.395899999999999880e-05,5.053100000000000256e-04,6.014900000000000213e-07,2.310699999999999906e-07,1.372600000000000038e-05,1.594099999999999987e-03,1.137200000000000016e-02,0.000000000000000000e+00,1.836499999999999916e-04,3.429900000000000049e-03,1.635199999999999862e-05,9.357300000000000686e-03,3.541499999999999816e-09,8.725899999999999976e-03,4.605899999999999578e-03,3.748099999999999869e-03,1.798899999999999978e-03,2.529600000000000099e-07,1.240300000000000083e-02,6.682200000000000498e-05,1.031100000000000072e-02,8.505699999999999719e-03,2.640600000000000180e-06,2.999800000000000167e-08,6.471799999999999775e-03,5.726199999999999866e-03,1.071499999999999970e-03,1.195700000000000061e-03,4.954199999999999750e-03,6.355200000000000156e-07,4.370399999999999695e-06,2.513399999999999836e-03,1.869599999999999934e-10,2.964799999999999936e-09,2.174900000000000132e-06,3.103600000000000109e-02,2.434699999999999983e-04,4.849799999999999713e-06,7.444100000000000161e-01,3.094100000000000158e-06,8.590899999999999925e-02
1.939300000000000052e-02,2.079600000000000025e-03,3.913100000000000194e-04,1.099100000000000031e-05,7.398100000000000336e-03,1.030100000000000014e-05,9.511700000000000767e-06,1.415900000000000047e-04,2.480399999999999833e-05,4.073300000000000184e-04,2.111299999999999982e-03,2.454700000000000062e-05,0.000000000000000000e+00,1.849399999999999945e-05,9.363200000000000411e-01,2.907199999999999880e-05,1.357499999999999962e-05,2.868900000000000183e-03,7.275000000000000216e-03,1.259500000000000054e-05,1.865799999999999924e-04,2.026500000000000048e-07,8.155199999999999440e-06,1.774900000000000100e-04,6.880499999999999970e-08,3.267299999999999892e-03,1.044999999999999990e-05,2.954100000000000058e-05,7.419200000000000049e-06,2.421800000000000089e-05,8.091600000000000591e-06,2.292499999999999887e-04,7.076999999999999957e-03,4.548800000000000087e-04,1.197900000000000000e-06,7.943799999999999397e-05,8.089900000000000251e-06,6.172499999999999771e-06,2.657400000000000002e-05,4.225900000000000316e-05,2.702899999999999834e-03,5.026699999999999832e-05,7.751699999999999661e-05,1.548000000000000087e-05,6.970800000000000086e-03
6.056699999999999965e-07,3.494699999999999998e-04,2.457399999999999889e-08,9.333499999999999502e-08,2.100599999999999844e-05,4.207000000000000051e-09,1.118100000000000099e-09,9.531199999999999479e-06,2.410599999999999896e-02,9.116299999999999648e-07,5.910699999999999635e-03,5.694299999999999843e-06,2.917099999999999904e-05,0.000000000000000000e+00,8.780099999999999572e-01,1.317900000000000037e-05,4.007899999999999777e-07,9.316800000000000335e-10,1.075999999999999947e-06,1.125500000000000066e-06,7.785699999999999565e-02,5.207499999999999481e-07,4.708600000000000222e-07,1.701399999999999922e-06,6.316800000000000236e-06,4.275400000000000022e-08,2.875599999999999872e-10,3.318900000000000106e-06,4.212600000000000011e-10,2.846499999999999979e-07,1.012700000000000029e-09,6.424900000000000099e-06,1.650299999999999895e-07,7.259400000000000325e-06,7.068100000000000387e-11,1.090599999999999985e-06,2.407800000000000160e-07,5.090000000000000183e-07,1.036799999999999967e-04,3.917999999999999588e-06,5.080399999999999885e-07,1.231899999999999934e-08,1.354099999999999922e-02,3.632599999999999719e-08,9.822100000000000370e-06
8.057399999999999935e-04,1.010300000000000000e-04,8.245399999999999355e-05,5.702299999999999936e-05,3.488000000000000215e-04,3.428099999999999789e-04,7.044599999999999820e-03,1.999299999999999916e-04,1.983300000000000137e-05,3.413499999999999759e-05,4.237699999999999762e-05,1.018500000000000091e-03,2.867700000000000004e-05,3.620599999999999860e-03,0.000000000000000000e+00,1.027100000000000043e-05,5.282500000000000330e-05,2.622000000000000199e-03,3.382299999999999787e-05,6.811200000000000110e-05,9.747200000000000308e-01,8.774099999999999901e-05,9.637499999999999799e-05,3.070699999999999992e-04,3.656199999999999824e-06,9.225600000000000236e-08,1.548300000000000067e-05,7.064899999999999900e-06,3.064699999999999982e-05,2.234899999999999897e-05,8.126200000000000225e-06,6.625099999999999978e-05,3.460000000000000076e-05,6.073200000000000061e-05,5.066200000000000062e-08,2.912200000000000002e-05,8.457200000000000275e-05,3.987800000000000004e-04,2.577500000000000085e-08,6.417600000000000355e-05,2.357899999999999905e-04,9.666199999999999576e-04,4.807200000000000188e-03,3.562899999999999921e-04,1.067299999999999976e-03
3.343500000000000091e-05,1.480299999999999944e-09,5.554899999999999768e-03,7.643200000000000276e-05,2.482800000000000183e-06,3.583199999999999845e-05,3.530500000000000164e-05,7.762899999999999983e-08,7.960499999999999423e-05,9.800800000000000252e-07,2.066799999999999931e-05,2.782199999999999807e-06,8.235099999999999937e-07,4.732599999999999907e-07,1.305700000000000072e-08,0.000000000000000000e+00,1.723500000000000047e-07,8.437700000000000176e-08,3.380700000000000090e-06,4.263600000000000029e-02,2.859899999999999927e-06,2.289699999999999863e-06,3.275999999999999941e-04,3.962700000000000140e-08,4.882699999999999855e-06,1.702100000000000011e-03,2.792899999999999975e-06,7.814000000000000112e-02,6.251499999999999565e-07,8.053599999999999301e-03,2.995800000000000184e-06,8.798700000000000444e-04,1.101500000000000042e-05,2.455900000000000010e-03,6.390199999999999874e-08,4.632599999999999739e-03,1.417100000000000010e-11,9.022200000000000456e-05,8.549600000000000533e-01,1.644299999999999974e-07,3.113399999999999816e-10,1.287900000000000019e-10,2.159799999999999887e-05,2.587199999999999979e-06,2.273900000000000031e-04
2.538700000000000071e-03,1.576700000000000107e-03,3.447600000000000246e-07,1.455000000000000130e-04,1.125799999999999962e-04,2.573300000000000153e-03,1.976700000000000065e-06,3.673000000000000133e-07,4.251400000000000123e-04,3.911800000000000392e-06,2.377899999999999872e-07,4.902200000000000049e-07,5.671600000000000044e-07,5.327299999999999799e-07,1.237599999999999945e-10,7.906799999999999582e-05,0.000000000000000000e+00,9.559500000000000335e-09,7.240199999999999875e-09,7.246200000000000392e-07,7.810299999999999468e-08,8.393000000000000788e-06,9.017299999999999622e-08,6.762099999999999386e-08,1.452299999999999902e-04,2.923499999999999883e-03,1.072100000000000078e-06,1.349599999999999953e-04,9.876099999999999879e-01,1.712500000000000032e-09,5.001400000000000091e-06,4.532899999999999918e-05,2.895500000000000179e-04,2.947399999999999868e-04,4.406500000000000077e-06,1.538000000000000066e-09,2.141800000000000038e-10,5.214599999999999591e-07,4.762999999999999764e-04,4.791199999999999957e-10,6.406900000000000017e-07,4.486399999999999939e-06,8.545800000000000198e-07,5.650799999999999884e-08,5.917599999999999857e-04
6.787999999999999763e-03,3.890999999999999846e-05,9.195400000000000113e-10,5.780500000000000048e-03,2.192200000000000051e-02,5.823800000000000043e-05,9.315799999999999813e-07,1.171200000000000069e-05,3.661999999999999977e-02,9.126999999999999696e-03,1.622099999999999936e-05,1.681499999999999910e-06,1.094399999999999956e-01,7.954300000000000259e-02,6.469399999999999595e-01,4.732700000000000021e-07,3.942899999999999976e-06,0.000000000000000000e+00,1.374300000000000001e-02,7.594499999999999878e-06,4.373799999999999910e-02,2.472799999999999749e-07,3.148800000000000244e-07,8.738100000000000245e-06,3.259000000000000178e-03,8.796699999999999989e-06,9.475300000000000573e-06,2.953600000000000190e-07,5.688499999999999831e-06,1.360899999999999964e-07,1.053000000000000083e-05,1.710900000000000001e-06,1.335399999999999955e-02,1.102500000000000032e-06,4.572600000000000063e-06,4.191500000000000103e-05,4.591699999999999592e-06,7.585400000000000253e-06,2.241100000000000024e-06,1.625399999999999989e-04,2.146799999999999924e-03,5.296300000000000313e-03,1.896300000000000069e-03,5.913100000000000188e-08,1.637399999999999985e-06
8.866300000000000136e-05,1.478400000000000023e-08,1.444299999999999978e-04,7.589700000000000365e-06,7.578099999999999918e-10,7.458700000000000475e-07,1.111300000000000066e-01,4.031199999999999893e-09,6.481900000000000622e-08,9.939099999999999313e-09,2.963700000000000102e-03,6.680600000000000080e-03,2.988600000000000008e-14,5.059000000000000129e-03,2.480200000000000113e-02,1.014400000000000024e-02,1.966000000000000150e-05,3.596399999999999990e-06,0.000000000000000000e+00,4.451800000000000201e-02,7.210199999999999942e-01,1.411899999999999984e-06,2.782100000000000011e-06,2.329599999999999896e-08,1.327900000000000076e-04,2.274999999999999939e-02,1.499100000000000064e-04,2.930700000000000073e-14,3.135399999999999830e-05,3.369399999999999826e-03,5.621600000000000522e-07,7.699299999999999959e-05,4.535899999999999828e-03,1.158299999999999955e-02,3.429899999999999941e-04,1.150400000000000034e-02,1.181800000000000038e-02,1.320799999999999916e-06,6.301199999999999857e-03,3.603800000000000123e-06,2.135799999999999981e-04,3.077500000000000181e-06,1.637900000000000022e-04,2.985300000000000290e-14,4.275799999999999957e-04
4.829599999999999865e-03,3.773800000000000189e-06,8.027500000000000248e-09,2.017000000000000043e-02,1.627499999999999850e-08,1.300399999999999993e-02,9.289399999999999789e-08,1.140300000000000043e-04,1.189299999999999936e-07,2.017799999999999976e-06,5.540700000000000374e-07,1.483500000000000010e-03,6.686899999999999962e-05,5.260899999999999893e-06,1.064999999999999968e-06,1.166700000000000027e-05,1.006499999999999935e-05,2.123400000000000075e-07,2.360999999999999904e-02,0.000000000000000000e+00,2.554800000000000126e-02,6.431300000000000038e-03,2.774799999999999928e-05,1.055399999999999924e-05,8.262300000000000200e-03,2.058699999999999873e-06,5.294600000000000307e-08,1.161000000000000065e-05,4.363400000000000152e-10,5.008000000000000299e-04,1.395699999999999935e-03,9.119499999999999135e-03,1.089600000000000042e-07,1.690999999999999903e-04,2.386900000000000068e-04,1.821300000000000002e-02,2.203099999999999850e-02,2.256100000000000119e-02,3.787300000000000144e-05,7.780000000000000457e-04,2.904199999999999959e-08,5.485500000000000250e-05,8.144900000000000473e-01,3.406799999999999976e-04,6.457700000000000246e-03
2.820099999999999888e-08,4.630699999999999769e-07,2.451999999999999902e-05,1.632700000000000004e-04,1.780799999999999958e-05,8.257199999999999263e-03,9.033000000000000219e-08,9.666300000000000007e-09,5.549600000000000275e-08,6.814899999999999700e-08,1.040600000000000032e-04,2.740899999999999880e-06,5.844499999999999825e-10,9.910499999999999970e-08,8.519899999999999416e-08,2.147200000000000063e-07,5.555700000000000222e-04,2.463800000000000132e-07,8.171099999999999628e-08,7.478499999999999559e-10,0.000000000000000000e+00,6.314000000000000168e-03,1.314300000000000071e-04,3.535500000000000285e-05,8.512799999999999201e-06,3.304099999999999756e-05,1.180399999999999955e-06,5.311500000000000222e-05,1.843600000000000102e-05,4.265999999999999827e-03,6.813200000000000574e-11,1.258699999999999923e-02,8.584100000000000757e-03,1.375000000000000007e-02,4.137799999999999855e-04,2.001800000000000098e-07,3.932599999999999758e-08,1.553200000000000067e-02,4.858999999999999768e-07,4.889500000000000366e-06,1.025599999999999999e-07,3.092999999999999969e-08,9.129699999999999482e-01,5.418899999999999905e-07,1.616400000000000128e-02
